archived_on,date_ym,n,n_id,n_id_distinct,dataset
24/04/2025,2019-08,1245,1245,1215,msds_v2_coded_scored_assessments
24/04/2025,2020-04,19285,19285,17790,msds_v2_coded_scored_assessments
24/04/2025,2021-12,42045,42045,31490,msds_v2_coded_scored_assessments
24/04/2025,2019-05,440,440,440,msds_v2_coded_scored_assessments
24/04/2025,2024-07,86805,86805,58805,msds_v2_coded_scored_assessments
24/04/2025,2022-10,49285,49280,34725,msds_v2_coded_scored_assessments
24/04/2025,2020-03,17545,17545,16520,msds_v2_coded_scored_assessments
24/04/2025,2020-02,13155,13155,12660,msds_v2_coded_scored_assessments
24/04/2025,2023-03,56200,56200,41730,msds_v2_coded_scored_assessments
24/04/2025,2021-09,32975,32975,27945,msds_v2_coded_scored_assessments
24/04/2025,2024-06,78290,78290,51660,msds_v2_coded_scored_assessments
24/04/2025,2023-06,71385,71385,48135,msds_v2_coded_scored_assessments
24/04/2025,2019-12,4270,4270,4240,msds_v2_coded_scored_assessments
24/04/2025,2024-11,85285,85285,57070,msds_v2_coded_scored_assessments
24/04/2025,2022-09,49320,49315,35270,msds_v2_coded_scored_assessments
24/04/2025,2022-06,44665,44665,31630,msds_v2_coded_scored_assessments
24/04/2025,2022-02,39785,39785,30570,msds_v2_coded_scored_assessments
24/04/2025,2021-06,29675,29675,25920,msds_v2_coded_scored_assessments
24/04/2025,2019-10,4640,4640,4605,msds_v2_coded_scored_assessments
24/04/2025,null,2365,2365,2065,msds_v2_coded_scored_assessments
24/04/2025,2022-07,48120,48115,33915,msds_v2_coded_scored_assessments
24/04/2025,2021-08,28860,28860,25405,msds_v2_coded_scored_assessments
24/04/2025,2023-11,71330,71330,48315,msds_v2_coded_scored_assessments
24/04/2025,2020-08,20040,20040,17790,msds_v2_coded_scored_assessments
24/04/2025,2024-05,81100,81100,53635,msds_v2_coded_scored_assessments
24/04/2025,2023-10,70215,70215,48985,msds_v2_coded_scored_assessments
24/04/2025,2019-04,395,395,395,msds_v2_coded_scored_assessments
24/04/2025,2023-02,48565,48565,36300,msds_v2_coded_scored_assessments
24/04/2025,2022-05,43185,43185,33050,msds_v2_coded_scored_assessments
24/04/2025,2021-01,24920,24920,22255,msds_v2_coded_scored_assessments
24/04/2025,2024-08,82040,82040,55390,msds_v2_coded_scored_assessments
24/04/2025,2020-07,24325,24325,19220,msds_v2_coded_scored_assessments
24/04/2025,2020-09,21115,21115,19520,msds_v2_coded_scored_assessments
24/04/2025,2020-11,20790,20790,19110,msds_v2_coded_scored_assessments
24/04/2025,2023-08,74060,74060,49020,msds_v2_coded_scored_assessments
24/04/2025,2020-12,22220,22220,20000,msds_v2_coded_scored_assessments
24/04/2025,2023-07,70900,70900,48010,msds_v2_coded_scored_assessments
24/04/2025,2020-06,22290,22290,17855,msds_v2_coded_scored_assessments
24/04/2025,2019-11,4535,4535,4510,msds_v2_coded_scored_assessments
24/04/2025,2021-04,27265,27265,24390,msds_v2_coded_scored_assessments
24/04/2025,2023-07,77735,77735,56140,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-06,67000,66995,55370,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-02,46905,46905,45495,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2025-01,61865,61865,59630,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-10,63320,63315,59860,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-08,77460,77460,56660,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-11,58620,58620,55590,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-09,103840,103840,56060,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-02,113675,113670,58950,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-04,56880,56875,53170,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-03,118020,118020,62170,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-06,56085,56080,52060,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-12,99915,99915,54590,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-02,110645,110640,56615,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-07,7035,7035,6985,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-05,61650,61650,52870,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-12,102625,102620,52145,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-04,65355,65355,62275,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-10,105105,105095,55450,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-06,68370,68365,57190,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-10,43435,43435,42295,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-03,123235,123235,62650,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-05,63080,63080,57185,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-12,55390,55390,52895,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-03,130740,130740,67255,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-01,116195,116190,59915,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-12,106160,106160,55710,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-05,66080,66080,60650,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-06,62830,62830,53475,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-04,57275,57270,54725,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-07,72530,72530,57020,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-03,112715,112715,56095,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-02,115065,115065,57555,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-04,25,25,25,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-08,93310,93305,57095,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-12,112250,112250,59435,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-04,60510,60510,58050,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-02,107985,107980,53840,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-05,62775,62775,57115,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-01,118065,118060,61780,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-09,31475,31475,30830,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-11,112290,112290,59690,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-11,114620,114620,59095,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-08,80800,80800,52250,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2023-10,112875,112875,59010,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2024-05,59610,59610,55605,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2022-07,71735,71730,53760,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-08,81570,81570,54445,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-11,104775,104775,58300,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-04,62580,62580,59500,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-09,105180,105180,58685,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2020-11,112065,112065,59740,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2019-10,109415,109415,62290,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2021-06,66160,66155,57020,msds_v2_demographics_booking_and_pregnancy
24/04/2025,2018-11,44035,44035,42950,msds_v2_demographics_booking_and_pregnancy
